c Esto es un archivo con instancias para grafos. 
p did 100 9077
e 59 75 34 29
e 60 25 87 8
e 17 9 37 42
e 9 94 19 98
e 40 17 60 72
e 18 8 90 57
e 13 17 93 83
e 37 40 76 68
e 72 34 82 67
e 22 91 44 58
e 7 90 66 43
e 76 4 5 64
e 83 26 42 0
e 11 45 6 20
e 75 4 10 68
e 70 30 37 53
e 33 88 86 14
e 58 65 74 98
e 90 99 76 4
e 42 14 85 90
e 26 54 27 46
e 90 6 45 95
e 26 67 33 31
e 2 45 38 38
e 14 84 74 93
e 60 66 11 37
e 8 55 66 72
e 69 78 0 88
e 57 17 12 70
e 87 10 29 63
e 57 56 0 57
e 9 79 96 10
e 33 8 1 28
e 64 76 14 33
e 72 94 89 57
e 69 45 54 58
e 9 24 33 19
e 38 66 8 25
e 25 71 40 68
e 56 76 79 99
e 45 53 66 82
e 63 35 77 84
e 98 95 86 8
e 57 43 45 56
e 94 63 1 56
e 30 15 15 60
e 32 73 21 46
e 68 31 43 29
e 11 96 88 86
e 63 98 22 9
e 80 55 1 88
e 22 55 33 27
e 78 25 32 92
e 29 26 38 21
e 100 2 32 1
e 52 38 7 53
e 53 47 44 74
e 13 97 24 51
e 52 13 95 15
e 88 78 67 55
e 45 73 55 24
e 32 45 84 70
e 38 37 83 70
e 27 50 54 16
e 73 86 13 61
e 21 49 83 61
e 83 100 43 21
e 22 86 92 39
e 80 93 38 9
e 59 91 52 42
e 90 98 2 86
e 79 18 13 2
e 1 84 62 22
e 50 55 45 46
e 31 93 65 40
e 16 97 44 21
e 83 31 55 42
e 54 17 20 50
e 88 67 9 23
e 56 82 21 15
e 95 90 9 4
e 80 70 17 97
e 5 6 74 67
e 25 39 33 82
e 73 52 33 5
e 10 94 94 89
e 82 41 98 56
e 28 34 94 6
e 18 73 3 82
e 81 22 6 23
e 88 64 94 19
e 77 20 19 13
e 81 78 90 21
e 55 71 58 91
e 47 83 28 49
e 76 51 47 21
e 52 55 74 16
e 68 59 78 31
e 94 47 11 87
e 91 80 47 33
e 58 78 26 58
e 41 49 14 82
e 85 56 87 45
e 51 84 91 44
e 79 19 94 71
e 54 44 18 85
e 71 68 52 20
e 84 49 33 66
e 13 45 53 93
e 41 52 46 5
e 35 20 0 0
e 80 19 92 25
e 44 50 87 33
e 73 36 0 4
e 92 44 64 39
e 48 47 71 3
e 15 64 72 55
e 44 60 18 37
e 31 29 90 41
e 80 61 72 3
e 77 18 70 13
e 84 12 66 73
e 19 4 93 87
e 100 1 86 91
e 16 30 46 93
e 34 97 12 83
e 84 36 72 45
e 29 18 14 4
e 98 70 2 64
e 93 66 15 56
e 87 17 0 67
e 33 64 63 4
e 96 70 55 28
e 47 97 13 60
e 62 81 22 79
e 34 67 79 7
e 16 99 71 40
e 36 21 82 42
e 48 27 47 49
e 1 88 70 51
e 63 1 79 58
e 39 97 56 64
e 95 23 22 32
e 10 81 55 45
e 17 16 80 84
e 51 63 87 61
e 17 95 22 58
e 92 87 25 31
e 96 2 80 27
e 70 57 59 32
e 19 43 37 90
e 1 56 2 27
e 55 58 41 55
e 65 86 23 71
e 70 60 74 100
e 53 38 94 49
e 86 1 90 19
e 64 20 95 36
e 41 34 9 8
e 27 98 47 22
e 86 72 47 90
e 89 12 28 19
e 80 18 12 66
e 94 87 92 96
e 65 6 38 22
e 80 56 13 38
e 77 32 84 91
e 70 30 36 34
e 53 59 41 50
e 82 89 12 50
e 66 5 15 98
e 58 11 43 67
e 10 87 61 98
e 90 28 96 2
e 94 13 78 81
e 43 76 95 4
e 38 41 4 58
e 48 15 26 37
e 32 63 54 98
e 13 19 55 11
e 52 73 84 58
e 73 12 72 93
e 20 18 92 64
e 59 61 99 51
e 48 4 34 79
e 12 2 13 70
e 57 1 6 60
e 50 92 54 40
e 35 61 13 99
e 70 88 20 28
e 48 88 94 37
e 32 94 62 43
e 76 69 57 99
e 71 67 21 66
e 86 44 70 24
e 38 96 0 76
e 48 36 79 39
e 7 73 64 70
e 7 99 94 9
e 83 61 60 57
e 72 37 82 76
e 39 72 82 46
e 48 42 11 51
e 64 89 27 12
e 89 76 78 29
e 21 45 77 20
e 90 87 24 27
e 44 51 94 76
e 79 12 34 78
e 7 45 75 29
e 74 88 0 22
e 32 42 11 94
e 12 50 93 41
e 96 1 19 76
e 87 75 17 27
e 27 89 31 13
e 5 85 80 74
e 86 18 38 24
e 57 39 67 83
e 19 48 27 19
e 42 29 92 33
e 91 21 49 13
e 37 12 78 66
e 22 39 49 36
e 24 81 71 58
e 27 15 11 49
e 85 95 29 72
e 35 55 55 33
e 86 91 41 19
e 55 68 22 78
e 41 63 58 68
e 66 23 68 17
e 58 91 93 65
e 48 13 72 46
e 14 17 94 82
e 29 28 83 38
e 86 1 81 2
e 85 17 89 75
e 85 100 43 84
e 72 25 46 95
e 19 49 2 12
e 42 65 42 88
e 93 6 31 61
e 20 30 25 5
e 38 47 8 3
e 39 79 79 62
e 54 27 51 93
e 1 52 49 40
e 63 79 99 59
e 49 56 21 99
e 72 69 89 8
e 69 59 99 64
e 68 99 35 70
e 76 85 34 63
e 64 20 2 78
e 13 20 14 39
e 37 67 49 50
e 9 63 57 3
e 47 100 55 71
e 70 89 3 14
e 53 64 4 42
e 64 40 8 17
e 22 43 32 36
e 69 6 83 97
e 33 19 85 30
e 55 76 47 79
e 26 3 35 27
e 44 91 54 100
e 80 37 53 18
e 1 43 80 30
e 36 100 11 35
e 99 42 46 79
e 84 13 74 44
e 30 1 0 82
e 64 56 91 23
e 61 38 83 18
e 63 50 45 84
e 49 58 32 34
e 51 73 56 31
e 13 64 49 94
e 63 58 66 59
e 18 55 99 77
e 27 50 60 39
e 4 33 4 90
e 64 91 69 42
e 18 43 39 93
e 67 70 15 85
e 70 90 97 39
e 18 9 21 7
e 68 86 57 15
e 15 27 24 82
e 34 72 96 85
e 60 46 79 58
e 30 69 31 80
e 23 78 36 77
e 36 90 99 33
e 85 1 94 45
e 42 12 40 44
e 68 29 0 56
e 99 52 30 57
e 3 90 27 23
e 55 89 24 0
e 78 92 70 26
e 46 57 14 55
e 8 15 81 6
e 33 95 41 22
e 57 82 17 7
e 45 23 46 47
e 57 2 9 52
e 63 51 14 88
e 73 77 24 55
e 55 43 75 59
e 76 23 37 62
e 71 39 27 71
e 61 93 50 75
e 1 32 96 55
e 5 46 35 51
e 32 68 77 26
e 90 45 73 95
e 23 33 70 51
e 20 54 0 70
e 97 40 16 23
e 30 97 3 23
e 45 9 13 38
e 88 24 6 10
e 37 69 48 6
e 82 53 59 63
e 96 15 5 77
e 10 60 43 84
e 8 67 20 59
e 53 78 60 65
e 20 35 45 28
e 56 83 60 60
e 40 16 75 87
e 2 48 24 72
e 47 59 12 68
e 2 66 91 52
e 91 56 67 38
e 59 12 99 60
e 9 87 91 64
e 50 1 45 50
e 19 23 53 100
e 23 89 52 40
e 42 62 11 9
e 45 84 95 51
e 34 88 84 19
e 51 77 44 10
e 60 58 73 16
e 82 28 1 87
e 10 76 77 58
e 67 54 96 69
e 35 11 57 23
e 15 70 43 47
e 82 39 4 65
e 6 92 14 84
e 8 79 37 46
e 92 56 42 73
e 56 79 19 76
e 60 35 56 39
e 34 2 58 49
e 16 71 61 20
e 11 5 22 95
e 68 43 69 52
e 2 56 47 90
e 66 50 13 1
e 53 36 99 5
e 30 6 56 1
e 3 35 63 61
e 10 98 38 64
e 33 41 41 10
e 58 25 30 59
e 48 65 84 25
e 67 96 23 51
e 72 49 71 96
e 14 44 8 95
e 33 11 80 24
e 31 52 50 62
e 82 55 84 20
e 17 10 29 35
e 24 53 45 72
e 42 30 67 83
e 17 97 65 2
e 95 14 30 64
e 43 69 11 85
e 18 39 24 75
e 87 40 57 57
e 47 33 60 92
e 59 48 78 100
e 94 70 7 17
e 24 83 26 46
e 39 97 34 0
e 64 89 76 0
e 2 49 47 53
e 36 34 69 63
e 56 27 61 38
e 53 75 4 38
e 12 17 19 31
e 27 99 91 40
e 29 6 57 36
e 17 65 14 83
e 53 12 25 97
e 38 99 67 88
e 90 1 48 0
e 55 61 90 9
e 37 6 68 81
e 87 22 60 46
e 54 21 23 96
e 37 58 33 61
e 61 86 41 100
e 31 40 56 77
e 68 11 84 60
e 64 27 33 88
e 59 31 35 59
e 13 43 4 51
e 33 38 74 19
e 82 56 89 54
e 70 29 77 87
e 43 36 96 83
e 22 69 93 92
e 5 54 10 90
e 76 15 75 83
e 62 22 31 74
e 13 63 10 84
e 98 36 72 55
e 68 48 84 45
e 3 9 98 85
e 83 23 42 77
e 59 89 68 72
e 46 43 95 64
e 16 15 0 21
e 84 6 16 66
e 4 98 11 10
e 47 82 80 60
e 62 39 1 45
e 58 98 89 8
e 41 40 66 85
e 99 8 98 95
e 6 53 34 46
e 78 50 84 30
e 80 26 59 41
e 1 11 6 7
e 91 39 20 30
e 60 15 42 5
e 89 92 52 77
e 98 63 65 71
e 62 52 7 52
e 37 73 1 50
e 96 49 47 29
e 72 88 60 78
e 54 100 91 14
e 35 15 27 94
e 79 35 52 77
e 98 70 26 5
e 67 86 23 0
e 57 62 81 35
e 60 100 16 95
e 39 72 49 71
e 9 7 46 48
e 89 13 79 95
e 89 95 69 72
e 65 91 52 73
e 81 15 15 90
e 11 75 29 11
e 9 5 11 10
e 43 96 64 1
e 52 9 4 38
e 39 12 35 64
e 15 77 1 41
e 14 30 74 28
e 31 65 91 90
e 63 71 86 35
e 45 25 74 49
e 82 50 52 82
e 60 76 92 38
e 92 50 49 22
e 19 93 81 8
e 84 95 12 37
e 49 90 92 49
e 40 9 38 90
e 58 72 90 79
e 78 3 43 96
e 37 23 8 40
e 83 29 95 86
e 49 63 89 30
e 21 73 54 72
e 8 61 47 82
e 45 31 85 45
e 72 56 9 68
e 35 40 35 49
e 29 80 84 89
e 60 64 46 33
e 91 68 5 37
e 16 63 38 31
e 31 17 14 59
e 26 11 77 70
e 22 72 77 10
e 41 78 69 78
e 71 20 89 13
e 16 15 87 44
e 2 26 67 39
e 31 48 1 77
e 42 54 25 21
e 88 56 7 76
e 41 16 8 39
e 57 50 69 8
e 58 91 99 7
e 60 82 22 37
e 90 37 6 85
e 1 10 62 56
e 69 100 23 18
e 56 50 48 12
e 47 60 80 42
e 50 49 1 89
e 9 6 47 60
e 58 86 64 73
e 27 13 26 12
e 47 79 24 40
e 7 78 12 72
e 94 86 27 19
e 81 89 35 62
e 26 28 71 40
e 3 88 26 33
e 36 82 100 37
e 3 83 32 82
e 34 35 75 42
e 24 5 4 40
e 87 66 86 57
e 72 97 13 30
e 93 80 22 43
e 63 81 30 89
e 92 69 10 72
e 91 36 80 17
e 46 59 72 66
e 85 6 7 90
e 13 88 72 62
e 16 3 63 59
e 29 9 90 69
e 57 13 1 22
e 6 1 17 98
e 99 93 93 24
e 45 84 20 22
e 68 31 75 41
e 44 22 84 97
e 30 32 23 90
e 79 11 0 11
e 53 7 41 44
e 41 9 45 30
e 18 96 61 73
e 58 82 64 35
e 27 86 29 8
e 41 76 22 97
e 35 65 30 71
e 50 52 100 43
e 78 87 28 58
e 18 25 66 17
e 66 90 6 92
e 100 22 95 1
e 22 55 45 29
e 41 48 61 32
e 21 75 19 70
e 48 85 1 72
e 74 60 51 56
e 38 29 64 53
e 87 81 32 89
e 49 54 57 56
e 18 15 42 64
e 8 36 12 56
e 61 49 74 93
e 90 52 77 89
e 98 13 89 72
e 64 81 70 20
e 20 27 55 72
e 41 45 5 5
e 73 23 17 54
e 16 46 70 26
e 64 92 97 99
e 24 82 77 74
e 59 57 25 30
e 94 82 85 1
e 15 82 65 31
e 42 73 7 94
e 36 13 17 68
e 44 73 80 10
e 90 98 38 33
e 72 33 40 65
e 2 96 22 80
e 80 96 37 84
e 61 35 24 39
e 77 90 46 19
e 80 97 85 100
e 1 87 54 76
e 73 67 43 74
e 34 87 50 46
e 49 85 57 69
e 78 34 20 16
e 92 82 21 86
e 78 72 92 36
e 4 33 48 60
e 66 28 14 100
e 56 12 21 90
e 30 91 36 47
e 29 22 52 28
e 60 68 81 92
e 21 72 41 71
e 64 51 50 51
e 74 21 11 44
e 35 94 24 87
e 78 74 33 44
e 7 43 62 28
e 87 21 18 95
e 8 56 47 97
e 35 82 54 96
e 43 85 42 85
e 43 63 67 61
e 24 7 56 99
e 24 91 89 98
e 38 70 30 87
e 53 100 87 24
e 23 9 88 87
e 72 86 70 26
e 41 83 79 35
e 80 79 23 67
e 67 78 28 71
e 66 87 76 93
e 24 45 32 94
e 45 76 45 59
e 28 43 29 1
e 49 83 98 87
e 25 10 19 57
e 91 69 23 70
e 15 9 4 86
e 96 22 14 90
e 86 64 43 99
e 53 72 13 22
e 48 55 63 35
e 57 24 19 24
e 22 25 1 94
e 38 54 85 30
e 30 29 73 19
e 83 35 3 57
e 40 92 35 44
e 1 61 55 90
e 94 69 32 40
e 6 29 57 42
e 10 99 85 66
e 42 78 41 43
e 25 6 26 91
e 44 85 94 30
e 49 23 74 28
e 99 59 79 66
e 81 48 97 77
e 38 8 72 79
e 7 40 38 8
e 47 22 97 73
e 89 45 22 7
e 68 21 5 78
e 27 10 53 66
e 41 79 12 20
e 22 16 9 81
e 63 95 48 95
e 72 73 59 34
e 47 45 21 47
e 87 95 74 76
e 30 65 87 9
e 27 95 68 97
e 40 11 75 25
e 52 94 12 76
e 97 73 82 52
e 4 42 74 51
e 72 96 88 71
e 16 45 9 45
e 76 12 49 65
e 90 66 85 5
e 44 39 82 91
e 11 4 62 88
e 97 81 21 33
e 41 5 7 28
e 29 14 8 34
e 12 11 52 78
e 55 87 100 3
e 42 54 72 18
e 86 2 88 29
e 87 61 9 5
e 54 80 44 85
e 95 48 100 22
e 88 95 79 53
e 73 34 10 11
e 41 54 10 42
e 60 82 52 68
e 24 5 95 88
e 54 98 51 20
e 29 65 55 27
e 53 73 94 43
e 93 12 62 59
e 79 88 9 33
e 26 58 7 14
e 58 54 40 3
e 24 6 3 99
e 60 44 31 77
e 46 45 68 65
e 100 87 90 14
e 2 8 64 8
e 75 69 35 27
e 33 27 43 89
e 32 55 54 62
e 66 35 92 27
e 6 40 27 4
e 31 54 32 79
e 26 54 51 7
e 2 39 56 39
e 94 68 67 78
e 5 100 52 12
e 16 17 86 87
e 27 18 7 46
e 25 55 60 56
e 79 83 19 7
e 74 25 98 47
e 43 18 0 56
e 3 80 66 99
e 54 84 51 51
e 12 66 79 1
e 70 40 2 14
e 17 92 54 22
e 23 36 78 32
e 31 48 99 62
e 72 62 5 70
e 22 89 27 7
e 83 87 34 42
e 53 48 41 3
e 52 89 92 63
e 37 32 74 22
e 1 86 73 75
e 11 53 72 89
e 31 66 67 55
e 85 96 73 42
e 7 83 37 39
e 60 80 63 84
e 19 86 5 67
e 33 94 30 89
e 39 48 67 27
e 56 95 53 4
e 49 21 18 77
e 57 78 50 85
e 38 68 77 62
e 100 84 72 77
e 60 14 72 13
e 23 20 0 22
e 57 73 71 62
e 84 90 3 68
e 84 88 82 33
e 59 23 40 26
e 7 54 100 39
e 61 52 2 71
e 87 17 70 93
e 3 83 27 21
e 73 70 56 55
e 32 22 6 51
e 2 98 76 88
e 59 56 38 95
e 62 59 76 11
e 36 46 55 35
e 97 85 34 5
e 88 93 15 6
e 70 68 15 64
e 48 1 31 37
e 77 36 45 41
e 77 3 39 99
e 26 24 59 66
e 69 64 87 86
e 39 67 75 79
e 42 62 33 15
e 3 48 2 53
e 39 55 81 89
e 16 87 39 51
e 99 76 42 62
e 86 93 47 26
e 96 54 54 79
e 93 96 75 25
e 36 48 70 99
e 74 46 22 17
e 47 7 75 24
e 92 54 8 56
e 63 93 53 39
e 17 38 25 12
e 31 16 67 52
e 18 88 60 92
e 45 100 70 49
e 31 76 4 47
e 69 45 36 71
e 53 81 66 4
e 57 12 36 45
e 61 14 97 38
e 87 74 95 52
e 24 21 97 0
e 65 7 73 72
e 94 1 2 3
e 45 19 18 98
e 89 38 79 96
e 23 51 37 74
e 41 49 56 12
e 83 25 60 67
e 36 88 87 60
e 44 15 73 15
e 47 20 89 11
e 5 18 40 34
e 74 97 94 10
e 16 5 100 33
e 67 88 76 14
e 67 77 72 75
e 24 33 100 67
e 99 74 41 43
e 45 51 26 1
e 69 92 22 80
e 77 40 7 98
e 30 52 70 94
e 29 30 49 60
e 44 40 74 41
e 77 37 81 29
e 56 54 79 90
e 69 48 48 83
e 42 80 82 29
e 85 54 75 30
e 100 5 56 22
e 93 12 21 86
e 71 12 91 5
e 55 40 84 53
e 50 28 60 94
e 87 64 55 68
e 15 34 74 79
e 37 61 67 20
e 7 95 14 14
e 50 65 34 87
e 65 56 28 1
e 85 88 42 93
e 19 67 17 74
e 42 88 91 31
e 42 67 66 63
e 61 17 51 96
e 18 31 28 84
e 70 24 40 5
e 46 95 32 76
e 30 5 9 13
e 73 41 71 52
e 43 17 1 12
e 31 30 22 93
e 84 41 64 70
e 80 60 26 71
e 63 17 39 81
e 51 41 19 99
e 12 7 40 9
e 78 26 38 81
e 61 90 1 93
e 92 65 77 16
e 27 23 24 97
e 23 16 85 52
e 61 24 83 23
e 10 91 14 43
e 6 28 25 31
e 44 43 100 67
e 96 79 97 92
e 10 93 14 75
e 72 57 40 31
e 93 64 30 51
e 85 3 46 23
e 31 61 84 32
e 54 8 75 42
e 89 58 92 29
e 18 28 6 13
e 91 18 40 76
e 98 92 60 76
e 43 26 89 6
e 71 96 54 58
e 74 60 6 46
e 63 80 10 72
e 58 27 56 12
e 82 100 59 93
e 85 60 94 15
e 100 88 22 2
e 66 40 33 65
e 37 18 98 23
e 80 34 6 6
e 24 62 27 31
e 28 94 5 92
e 27 10 80 34
e 2 27 9 40
e 38 12 11 29
e 82 2 72 48
e 72 39 81 46
e 6 53 74 20
e 58 8 65 11
e 5 11 74 50
e 2 63 57 100
e 87 84 94 48
e 92 79 26 31
e 42 85 54 73
e 94 58 79 87
e 21 70 58 34
e 89 90 92 87
e 27 19 92 100
e 90 19 56 42
e 83 80 56 31
e 84 83 39 66
e 97 46 34 0
e 25 66 46 77
e 66 49 69 17
e 89 23 62 15
e 93 30 47 17
e 38 31 73 62
e 100 70 64 96
e 88 61 38 65
e 46 58 97 13
e 41 40 79 28
e 55 70 92 58
e 14 50 43 30
e 67 95 9 79
e 20 77 32 47
e 1 36 61 59
e 42 54 8 79
e 29 11 19 19
e 19 95 94 28
e 37 55 27 86
e 43 22 95 41
e 94 88 2 33
e 11 45 42 39
e 89 79 80 32
e 77 34 18 60
e 75 52 94 85
e 42 44 33 41
e 31 89 45 48
e 84 70 75 77
e 16 4 32 38
e 79 67 94 62
e 38 36 50 1
e 78 15 83 66
e 54 58 41 98
e 86 25 60 41
e 47 13 85 89
e 51 97 97 99
e 55 76 12 77
e 44 100 32 69
e 67 36 48 8
e 45 74 8 30
e 2 84 81 14
e 57 25 85 92
e 65 15 86 63
e 34 83 53 2
e 88 83 46 32
e 93 83 34 53
e 17 2 49 12
e 32 39 44 72
e 15 51 79 59
e 57 17 98 70
e 86 60 40 53
e 28 50 72 45
e 67 4 72 98
e 100 61 3 98
e 79 52 34 78
e 99 54 75 64
e 51 38 50 26
e 60 33 92 46
e 23 5 38 62
e 36 35 74 77
e 38 50 26 21
e 18 78 75 30
e 73 16 50 52
e 41 91 60 12
e 88 84 91 45
e 10 52 55 62
e 90 7 76 99
e 3 74 94 15
e 98 7 10 7
e 85 83 19 1
e 32 58 31 33
e 52 60 74 25
e 20 25 11 68
e 81 37 83 86
e 53 43 73 44
e 64 32 20 38
e 83 70 49 25
e 64 46 3 40
e 81 29 55 48
e 74 2 5 94
e 85 71 87 63
e 77 99 26 78
e 81 49 10 74
e 28 6 47 21
e 14 11 56 57
e 7 36 35 99
e 35 29 17 39
e 89 63 26 73
e 73 14 47 63
e 74 20 6 16
e 72 31 27 54
e 19 72 28 32
e 90 24 92 75
e 50 10 66 92
e 37 86 10 64
e 28 81 13 35
e 92 17 89 94
e 94 36 1 34
e 87 46 24 2
e 31 51 10 88
e 16 31 59 5
e 27 40 15 85
e 13 27 17 69
e 85 80 51 78
e 47 85 91 91
e 37 63 33 35
e 36 93 51 22
e 9 71 35 73
e 6 63 22 71
e 69 24 4 67
e 65 4 60 47
e 79 4 58 71
e 92 84 65 25
e 89 50 3 76
e 97 22 98 98
e 39 34 39 63
e 87 60 92 90
e 64 1 91 81
e 92 1 43 81
e 29 54 62 69
e 78 33 78 93
e 81 57 2 38
e 78 2 48 11
e 73 49 73 98
e 98 79 69 58
e 19 5 29 76
e 69 63 61 5
e 86 44 47 58
e 86 27 99 37
e 38 86 72 21
e 28 96 65 25
e 55 31 16 96
e 42 39 95 22
e 15 89 0 71
e 20 13 95 51
e 69 44 26 71
e 92 28 14 20
e 64 99 91 55
e 46 4 66 45
e 89 4 68 1
e 2 74 6 41
e 73 21 59 20
e 74 68 45 98
e 88 45 98 56
e 51 17 47 67
e 99 18 31 43
e 23 90 54 93
e 63 20 80 14
e 22 18 86 52
e 49 25 35 73
e 68 35 78 1
e 81 100 98 50
e 78 41 58 20
e 52 83 46 79
e 24 44 78 50
e 13 17 77 12
e 72 26 2 93
e 7 52 10 36
e 48 72 80 18
e 82 8 99 77
e 30 27 6 52
e 24 45 19 83
e 10 98 81 43
e 78 1 48 28
e 95 41 48 81
e 90 78 18 55
e 48 78 40 28
e 45 5 84 48
e 88 1 47 85
e 17 64 13 17
e 11 19 18 78
e 18 59 90 84
e 38 64 12 40
e 11 96 59 85
e 63 48 1 47
e 52 69 97 78
e 76 78 75 80
e 49 48 57 56
e 11 67 69 30
e 66 27 57 84
e 3 6 93 76
e 95 66 87 93
e 83 33 75 42
e 51 41 93 56
e 77 36 55 81
e 12 88 76 56
e 88 43 0 9
e 25 12 21 17
e 53 91 26 20
e 28 10 43 65
e 81 95 90 19
e 4 49 88 92
e 46 28 98 99
e 48 73 91 27
e 100 71 75 66
e 49 37 21 87
e 45 97 32 20
e 2 63 84 58
e 40 73 83 36
e 41 86 48 69
e 65 72 35 11
e 24 49 7 35
e 98 48 69 88
e 41 25 59 62
e 82 16 23 90
e 84 56 55 9
e 90 42 83 94
e 100 68 90 20
e 58 5 3 42
e 68 9 44 98
e 86 61 54 95
e 47 35 74 98
e 83 79 40 60
e 57 37 96 20
e 42 34 48 13
e 7 57 1 33
e 27 26 92 73
e 88 54 94 76
e 50 61 80 0
e 88 45 100 35
e 37 81 38 62
e 81 5 39 93
e 57 11 83 9
