c Esto es un archivo con instancias para grafos. 
p did 150
e 2 41 175.246092686
e 2 42 265.095369314
e 2 43 68.3008428807
e 2 44 35.5147484103
e 2 45 181.539383476
e 2 46 168.600056534
e 2 47 119.399072062
e 2 48 77.5311436178
e 2 49 41.2291343313
e 2 50 187.364021875
e 2 51 202.131946131
e 2 52 124.122387098
e 2 53 199.050374979
e 2 54 98.1249503345
e 2 55 134.581452462
e 2 56 298.88084461
e 2 57 16.4870007816
e 2 58 97.1923878461
e 2 59 271.235490748
e 2 60 276.463347893
e 2 61 208.459149163
e 2 62 8.36175913797
e 2 63 26.1145334788
e 2 64 22.5512106893
e 2 65 299.390168689
e 2 66 114.832855957
e 2 67 268.332413967
e 2 68 29.8493058375
e 2 69 294.084931432
e 2 70 225.596364795
e 2 71 148.850307624
e 2 72 89.150692328
e 2 73 269.400222879
e 2 74 297.584233494
e 2 75 67.1695940265
e 2 76 42.327704975
e 2 77 9.57717062636
e 2 78 208.826242782
e 2 79 241.896831013
e 2 80 40.3930056734
e 2 81 273.399346775
e 2 82 238.885360108
e 2 83 204.810950559
e 2 84 229.134657907
e 2 85 54.9859102542
e 2 86 218.473456595
e 2 87 15.5801826121
e 2 88 56.0564884177
e 2 89 288.267991315
e 2 90 141.144982094
e 2 91 100.26295296
e 2 92 283.750882488
e 2 93 201.840473504
e 2 94 13.9130649856
e 2 95 284.489698979
e 2 96 262.589394543
e 2 97 289.103000809
e 2 98 53.7059410021
e 2 99 162.582505975
e 2 100 213.22740541
e 2 101 236.029491936
e 2 102 72.4732018243
e 2 103 152.378312326
e 2 104 153.259349961
e 2 105 275.947123217
e 2 106 257.687452813
e 2 107 20.3151830991
e 2 108 252.889383073
e 2 109 31.923363394
e 2 110 226.731725556
e 2 111 144.261050046
e 2 112 280.869730729
e 2 113 176.369707981
e 2 114 245.315979783
e 2 115 274.575247762
e 2 116 84.6781522014
e 2 117 193.201522128
e 2 118 4.41709773905
e 2 119 114.834365005
e 2 120 281.533074535
e 2 121 5.48296132945
e 2 122 295.935886992
e 2 123 226.59340632
e 2 124 226.548730141
e 2 125 150.666835207
e 2 126 185.531810987
e 2 127 4.48065263135
e 2 128 237.025960771
e 2 129 22.674583261
e 2 130 103.737301626
e 2 131 121.684153278
e 2 132 175.34908622
e 2 133 287.146261567
e 2 134 88.301195998
e 2 135 227.875751594
e 2 136 240.886592368
e 2 137 84.7157137566
e 2 138 187.123026813
e 2 139 61.1938546934
e 2 140 30.2470412639
e 2 141 48.9024769159
e 2 142 62.6074350233
e 2 143 3.09229170165
e 2 144 66.8255815235
e 2 145 101.096991716
e 2 146 291.962896966
e 2 147 299.323412723
e 2 148 291.635033474
e 2 149 157.853815891
e 3 4 247.903357693
e 3 5 0.288467648689
e 3 6 20.2976032092
e 3 7 45.8448894442
e 3 8 29.8307541331
e 3 9 250.280222224
e 3 10 147.979259831
e 3 11 45.3604715279
e 3 12 281.217607304
e 3 13 248.931237501
e 3 14 50.0999516465
e 3 15 10.1206765469
e 3 16 93.739079838
e 3 17 47.9813187902
e 3 18 115.657884654
e 3 19 23.398283186
e 3 20 206.327309604
e 3 21 287.353637072
e 3 22 255.131848912
e 3 23 262.147317737
e 3 24 205.081183678
e 3 25 233.510144508
e 3 26 271.710056539
e 3 27 131.277595931
e 3 28 49.0275198647
e 3 29 297.161580441
e 3 30 260.189149259
e 3 31 155.192682085
e 3 32 16.5394820548
e 3 33 93.9343125561
e 3 34 259.189920096
e 3 35 146.991250753
e 3 36 215.12624622
e 3 37 72.8561005982
e 3 38 228.277096602
e 3 39 118.045248223
e 3 40 65.71864021
e 3 41 184.511383181
e 3 42 260.843485547
e 3 43 159.680962445
e 3 44 49.3531806081
e 3 45 218.316011186
e 3 46 37.2254551797
e 3 47 233.410727804
e 3 48 10.0190043722
e 3 49 138.489331539
e 3 50 126.033771916
e 3 51 231.934067473
e 3 52 285.435741816
e 3 53 123.529122369
e 3 54 62.722723407
e 3 55 149.87422013
e 3 56 93.2837616446
e 3 57 142.317186929
e 3 58 106.921352197
e 3 59 183.43129551
e 3 60 162.106791073
e 3 61 76.6667876983
e 3 62 137.82262209
e 3 63 220.774649811
e 3 64 68.0545072229
e 3 65 12.1747477329
e 3 66 137.915469779
e 3 67 7.41763431504
e 3 68 265.223446265
e 3 69 43.1984308028
e 3 70 16.9362813684
e 3 71 97.0897461172
e 3 72 276.729787507
e 3 73 170.923577153
e 3 74 210.611281612
e 3 75 77.1941037287
e 3 76 177.633490656
e 3 77 151.204807406
e 3 78 231.827249615
e 3 79 207.596813916
e 3 80 202.736214684
e 3 81 162.418032496
e 3 82 74.920111346
e 3 83 168.889631808
e 3 84 263.797563705
e 3 85 272.399862704
e 3 86 160.233384107
e 3 87 151.493179366
e 3 88 37.3148203804
e 3 89 266.95142012
e 3 90 198.477769844
e 3 91 127.114341239
e 3 92 98.3695954959
e 3 93 244.449489097
e 3 94 216.815774493
e 3 95 155.638443563
e 3 96 247.001761206
e 3 97 70.9370498525
e 3 98 84.0657869193
e 3 99 274.303454377
e 3 100 51.3362005642
e 3 101 206.050703399
e 3 102 181.071190877
e 3 103 3.79551061699
e 3 104 86.0346233113
e 3 105 290.793244617
e 3 106 139.251754886
e 3 107 247.31897009
e 3 108 169.310208352
e 3 109 48.6230444225
e 3 110 297.150988243
e 3 111 198.549667311
e 3 112 243.297032151
e 3 113 134.799601276
e 3 114 26.6261833592
e 3 115 24.5413628862
e 3 116 281.395500469
e 3 117 261.249180034
e 3 118 158.929002545
e 3 119 124.9657053
e 3 120 174.963710088
e 3 121 25.4707446335
e 3 122 282.147922404
e 3 123 162.253005143
e 3 124 65.2662442304
e 3 125 193.333157245
e 3 126 148.0164752
e 3 127 51.8413162189
e 3 128 59.9690342862
e 3 129 196.374132373
e 3 130 268.940985056
e 3 131 225.490995315
e 3 132 296.207987185
e 3 133 205.907579356
e 3 134 88.5016990561
e 3 135 115.146589441
e 3 136 268.880105229
e 3 137 86.6617434316
e 3 138 163.569928357
e 3 139 11.4584477677
e 3 140 188.855178818
e 3 141 10.2199563739
e 3 142 266.267758653
e 3 143 156.538024982
e 3 144 278.568013869
e 3 145 190.916660207
e 3 146 30.4246834805
e 3 147 280.060511841
e 3 148 179.048955624
e 3 149 71.4802626313
e 4 5 288.722489321
e 4 6 29.7642050394
e 4 7 241.548847317
e 4 8 156.333765866
e 4 9 93.3955121769
e 4 10 267.52230703
e 4 11 277.700602975
e 4 12 18.2619039638
e 4 13 79.5824652197
e 4 14 79.9417984446
e 4 15 115.557679125
e 4 16 172.109398142
e 4 17 66.9591781592
e 4 18 29.2277528745
e 4 19 114.655863915
e 4 20 263.718571898
e 4 21 225.881821772
e 4 22 10.0961824514
e 4 23 33.0508684139
e 4 24 260.412224537
e 4 25 140.789132097
e 4 26 245.793269176
e 4 27 187.053032073
e 4 28 251.287634317
e 4 29 108.760160861
e 4 30 121.005302908
e 4 31 263.495148913
e 4 32 27.5490476445
e 4 33 32.5355514437
e 4 34 5.51498162178
e 4 35 169.430482237
e 4 36 158.311220229
e 4 37 262.348911854
e 4 38 122.523457066
e 4 39 68.7506944905
e 4 40 66.5275371462
e 4 41 222.749752582
e 4 42 229.261092148
e 4 43 247.622891853
e 4 44 251.944766553
e 4 45 261.791906302
e 4 46 205.424824452
e 4 47 277.523473019
e 4 48 223.206208283
e 4 49 1.42050912737
e 4 50 1.9795904141
e 4 51 289.779203047
e 4 52 115.920251287
e 4 53 55.6129360824
e 4 54 146.643164409
e 4 55 195.295393025
e 4 56 6.59959507442
e 4 57 133.139562788
e 4 58 25.3741441935
e 4 59 266.386834271
e 4 60 231.549431176
e 4 61 216.284755812
e 4 62 3.73136061293
e 4 63 236.555229381
e 4 64 165.444996632
e 4 65 287.409612765
e 4 66 190.839680993
e 4 67 214.66312597
e 4 68 261.871861789
e 4 69 233.001379009
e 4 70 110.201552151
e 4 71 43.0164132306
e 4 72 160.741315878
e 4 73 86.2562456407
e 4 74 280.281332665
e 4 75 106.782480447
e 4 76 222.65076952
e 4 77 120.380467358
e 4 78 222.566002923
e 4 79 55.1430541684
e 4 80 155.998400479
e 4 81 218.165361709
e 4 82 110.452785083
e 4 83 261.34841485
e 4 84 207.197200002
e 4 85 196.829955287
e 4 86 127.542270831
e 4 87 118.531408274
e 4 88 164.300645988
e 4 89 70.7127344626
e 4 90 134.58779413
e 4 91 297.565731693
e 4 92 96.9551254901
e 4 93 119.149149326
e 4 94 47.6338018682
e 4 95 62.6509617349
e 4 96 106.96901215
e 4 97 262.635939771
e 4 98 289.550473963
e 4 99 213.514190504
e 4 100 152.454114795
e 4 101 30.9494965609
e 4 102 81.9579780828
e 4 103 227.590577462
e 4 104 120.474681286
e 4 105 171.432412882
e 4 106 76.3092562494
e 4 107 192.535832195
e 4 108 281.25453222
e 4 109 85.5679396458
e 4 110 253.906454867
e 4 111 210.81975546
e 4 112 159.678961448
e 4 113 232.375508238
e 4 114 172.455734728
e 4 115 276.580534392
e 4 116 158.802205424
e 4 117 18.6062021961
e 4 118 151.714808493
e 4 119 226.281076457
e 4 120 267.134267732
e 4 121 133.831415135
e 4 122 10.3503066435
e 4 123 119.186809355
e 4 124 96.8975647518
e 4 125 50.1477197885
e 4 126 164.089195798
e 4 127 220.783278195
e 4 128 225.104884386
e 4 129 209.242731295
e 4 130 143.655072464
e 4 131 141.536539271
e 4 132 18.7704272761
e 4 133 233.18145284
e 4 134 131.839699851
e 4 135 257.631961151
e 4 136 194.827887667
e 4 137 43.1448028513
e 4 138 105.545398397
e 4 139 103.309770117
e 4 140 257.419101893
e 4 141 59.5247219173
e 4 142 105.931592106
e 4 143 245.463107686
e 4 144 37.8908077194
e 4 145 189.882375696
e 4 146 139.07050307
e 4 147 28.7725694252
e 4 148 234.736098636
e 4 149 280.877536699
e 5 6 1.01253654758
e 5 7 276.349404571
e 5 8 299.603476488
e 5 9 247.223062808
e 5 10 100.184536123
e 5 11 235.908593607
e 5 12 176.291964041
e 5 13 115.46445063
e 5 14 94.6910187432
e 5 15 55.5247806773
e 5 16 246.898403502
e 5 17 257.835044886
e 5 18 244.799023061
e 5 19 116.566404853
e 5 20 205.232676907
e 5 21 102.004475852
e 5 22 89.882614813
e 5 23 222.939028298
e 5 24 157.159775488
e 5 25 255.167760179
e 5 26 196.687585783
e 5 27 239.104526094
e 5 28 45.9421099532
e 5 29 191.444676867
e 5 30 148.645539668
e 5 31 198.248932529
e 5 32 30.7322785265
e 5 33 297.578077108
e 5 34 270.575592182
e 5 35 282.195674541
e 5 36 12.2164443366
e 5 37 135.341402141
e 5 38 232.261068057
e 5 39 247.951449838
e 5 40 152.334575949
e 5 41 159.361325318
e 5 42 117.947665592
e 5 43 59.2533440932
e 5 44 235.502253732
e 5 45 227.064510398
e 5 46 193.198511957
e 5 47 5.24959603747
e 5 48 123.60992058
e 5 49 253.588618305
e 5 50 197.081635627
e 5 51 62.1075954643
e 5 52 208.559433893
e 5 53 275.139393442
e 5 54 183.8870582
e 5 55 40.8642944835
e 5 56 23.0344083167
e 5 57 128.761398578
e 5 58 199.900753321
e 5 59 98.9837635033
e 5 60 110.655650234
e 5 61 227.26681701
e 5 62 68.4606515835
e 5 63 197.727546985
e 5 64 79.1057516528
e 5 65 45.3769180675
e 5 66 32.7339620368
e 5 67 164.852567567
e 5 68 193.909456645
e 5 69 2.51847133935
e 5 70 164.622883296
e 5 71 165.209489232
e 5 72 1.29283063916
e 5 73 31.5766073092
e 5 74 159.098501496
e 5 75 142.465158291
e 5 76 250.109062888
e 5 77 7.99060041197
e 5 78 251.919091434
e 5 79 98.298416169
e 5 80 191.188084267
e 5 81 225.585903793
e 5 82 110.682871526
e 5 83 34.0070349159
e 5 84 192.622712734
e 5 85 136.838681627
e 5 86 95.7209440505
e 5 87 269.958280272
e 5 88 228.821342212
e 5 89 120.363850473
e 5 90 178.540036803
e 5 91 51.0895205349
e 5 92 163.608914185
e 5 93 128.799235427
e 5 94 59.2479091805
e 5 95 35.957332231
e 5 96 15.6630784529
e 5 97 215.059470067
e 5 98 6.19615516256
e 5 99 107.045024958
e 5 100 96.8445636802
e 5 101 43.0208116698
e 5 102 72.0184049219
e 5 103 172.297561356
e 5 104 34.4967359006
e 5 105 144.70234274
e 5 106 294.729192943
e 5 107 179.396777351
e 5 108 251.362381064
e 5 109 61.5785341918
e 5 110 26.6079762916
e 5 111 134.28087636
e 5 112 291.903838253
e 5 113 51.2229110682
e 5 114 212.555333292
e 5 115 26.6156277719
e 5 116 199.434348942
e 5 117 29.5122822642
e 5 118 78.5009056304
e 5 119 6.20077987865
e 5 120 227.237451017
e 5 121 170.325956589
e 5 122 169.789955547
e 5 123 147.390567279
e 5 124 241.469440596
e 5 125 103.853213471
e 5 126 85.0199114464
e 5 127 204.406553311
e 5 128 184.046321456
e 5 129 128.354486767
e 5 130 111.967531852
e 5 131 215.251025684
e 5 132 69.5172860664
e 5 133 131.730428961
e 5 134 59.4997924233
e 5 135 17.0873920552
e 5 136 168.491838554
e 5 137 90.3557533352
e 5 138 233.938989891
e 5 139 46.8308420594
e 5 140 159.033116631
e 5 141 128.067647094
e 5 142 41.1036098823
e 5 143 294.891851959
e 5 144 132.961432488
e 5 145 243.012230868
e 5 146 96.8844781595
e 5 147 206.495320181
e 5 148 41.8907788611
e 5 149 183.023633513
e 6 7 275.897117122
e 6 8 4.17490540463
e 6 9 266.190608805
e 6 10 169.704471582
e 6 11 15.1969678663
e 6 12 17.7589499952
e 6 13 45.2481538973
e 6 14 224.382168716
e 6 15 140.383785567
e 6 16 133.951336729
e 6 17 87.4119414863
e 6 18 261.515018296
e 6 19 80.0189865941
e 6 20 102.324550004
e 6 21 93.4535072715
e 6 22 166.052327186
e 6 23 262.546105622
e 6 24 222.643248423
e 6 25 90.3179295593
e 6 26 180.642629475
e 6 27 128.536585135
e 6 28 38.7191629035
e 6 29 164.182476585
e 6 30 239.771161254
e 6 31 266.16459652
e 6 32 64.3549846969
e 6 33 182.480933654
e 6 34 30.1770073042
e 6 35 122.719543806
e 6 36 220.907794563
e 6 37 195.875484592
e 6 38 278.559335396
e 6 39 232.787088691
e 6 40 57.9210631706
e 6 41 61.9541837028
e 6 42 98.0698780172
e 6 43 23.7170806159
e 6 44 32.9397611294
e 6 45 42.7968418061
e 6 46 16.0081927992
e 6 47 1.17066739422
e 6 48 126.188887835
e 6 49 149.971575549
e 6 50 247.023704008
e 6 51 81.7537924549
e 6 52 7.29070293544
e 6 53 104.001624443
e 6 54 111.121026915
e 6 55 152.803058962
e 6 56 216.292334381
e 6 57 219.920548185
e 6 58 18.8713575283
e 6 59 267.267047049
e 6 60 192.347533558
e 6 61 122.598365694
e 6 62 255.830128456
e 6 63 14.7681517796
e 6 64 103.682233376
e 6 65 120.366247972
e 6 66 179.238398089
e 6 67 297.918901678
e 6 68 150.251997782
e 6 69 182.821576675
e 6 70 218.387843598
e 6 71 275.813413726
e 6 72 68.6775271071
e 6 73 167.707560371
e 6 74 220.626467417
e 6 75 113.813405382
e 6 76 42.1921736231
e 6 77 212.459642823
e 6 78 53.2912150908
e 6 79 1.68946314918
e 6 80 204.39433367
e 6 81 210.537296384
e 6 82 275.226598975
e 6 83 94.5851227202
e 6 84 143.677889925
e 6 85 298.998256875
e 6 86 250.075633719
e 6 87 142.951767334
e 6 88 54.0499119111
e 6 89 95.1954560733
e 6 90 141.672465599
e 6 91 270.624015266
e 6 92 133.487365084
e 6 93 291.869275357
e 6 94 38.4030966812
e 6 95 246.901009772
e 6 96 145.234552587
e 6 97 180.353714571
e 6 98 184.719794196
e 6 99 29.7704718232
e 6 100 10.5542486517
e 6 101 58.3164644066
e 6 102 225.043625817
e 6 103 37.1247456243
e 6 104 69.0695043368
e 6 105 53.8063215401
e 6 106 1.13095952488
e 6 107 7.21440215721
e 6 108 49.2556693597
e 6 109 83.8474306804
e 6 110 142.065974597
e 6 111 290.493891203
e 6 112 61.4077209265
e 6 113 150.256760292
e 6 114 48.4938469877
e 6 115 40.2572297339
e 6 116 155.125893835
e 6 117 258.732177508
e 6 118 166.284421347
e 6 119 123.650790294
e 6 120 140.194631334
e 6 121 55.8973074433
e 6 122 69.6079630211
e 6 123 82.3780366294
e 6 124 273.823578845
e 6 125 126.257119687
e 6 126 110.625039023
e 6 127 58.1097837764
e 6 128 226.16126002
e 6 129 44.0072077821
e 6 130 251.546575354
e 6 131 269.158862271
e 6 132 211.144613446
e 6 133 36.911027639
e 6 134 164.30247809
e 6 135 198.568050849
e 6 136 196.367993808
e 6 137 130.191409876
e 6 138 37.3510208421
e 6 139 119.217568588
e 6 140 260.46354863
e 6 141 215.528908608
e 6 142 17.4817845469
e 6 143 246.280125739
e 6 144 189.774165465
e 6 145 174.446532242
e 6 146 79.6573847982
e 6 147 8.60024116673
e 6 148 140.046299973
e 6 149 197.494176084
e 7 8 136.44992091
e 7 9 284.2778074
e 7 10 203.944160193
e 7 11 27.1584393166
e 7 12 135.696813689
e 7 13 115.14683496
e 7 14 254.234324095
e 7 15 297.700187928
e 7 16 84.7427264435
e 7 17 81.4669029721
e 7 18 86.3317369652
e 7 19 21.5197871448
e 7 20 114.745615803
e 7 21 202.564121875
e 7 22 222.964226751
e 7 23 103.551702638
e 7 24 75.7755379517
e 7 25 190.447310316
e 7 26 70.7893238441
e 7 27 38.5746719153
e 7 28 86.376541064
e 7 29 185.79954897
e 7 30 106.755465947
e 7 31 243.98284343
e 7 32 48.4857002321
e 7 33 194.541194707
e 7 34 294.148345279
e 7 35 180.621445985
e 7 36 27.2066757461
e 7 37 273.214620982
e 7 38 120.137323131
e 7 39 273.455206374
e 7 40 106.898177247
e 7 41 6.30289475429
e 7 42 100.876549747
e 7 43 257.381269549
e 7 44 228.885168526
e 7 45 207.122294986
e 7 46 219.163240925
e 7 47 155.691640698
e 7 48 278.196183814
e 7 49 21.0211333136
e 7 50 147.066922424
e 7 51 95.489149022
e 7 52 2.76015931038
e 7 53 272.79940016
e 7 54 299.216160345
e 7 55 298.96969855
e 7 56 247.213405139
e 7 57 153.766430966
e 7 58 161.043540914
e 7 59 33.625626877
e 7 60 238.731568443
e 7 61 177.824206211
e 7 62 189.410002802
e 7 63 107.518776734
e 7 64 157.380477763
e 7 65 139.679061886
e 7 66 15.3229857048
e 7 67 51.5897573067
e 7 68 53.0569503684
e 7 69 106.889172334
e 7 70 239.766618654
e 7 71 233.327231719
e 7 72 143.416470592
e 7 73 111.337716241
e 7 74 108.386078284
e 7 75 157.272694498
e 7 76 69.9150179175
e 7 77 46.551441542
e 7 78 233.9857828
e 7 79 35.3831293041
e 7 80 183.682761032
e 7 81 284.016900482
e 7 82 98.7155884462
e 7 83 127.462959483
e 7 84 228.664385011
e 7 85 256.493405736
e 7 86 97.6267886787
e 7 87 159.93115816
e 7 88 77.1945141084
e 7 89 92.6764305022
e 7 90 110.914716636
e 7 91 90.9722126669
e 7 92 70.9600747233
e 7 93 267.950377094
e 7 94 184.636022638
e 7 95 133.729849372
e 7 96 180.170982492
e 7 97 9.32343747752
e 7 98 92.3818474562
e 7 99 160.017141073
e 7 100 86.8212603911
e 7 101 101.012704227
e 7 102 289.719183145
e 7 103 288.01779385
e 7 104 176.64288553
e 7 105 170.498976142
e 7 106 175.876157829
e 7 107 268.217025635
e 7 108 110.422406665
e 7 109 113.713069196
e 7 110 14.3489181921
e 7 111 84.7957105033
e 7 112 294.962022
e 7 113 276.71373398
e 7 114 98.9143040093
e 7 115 198.6820846
e 7 116 280.367032155
e 7 117 41.8610414034
e 7 118 215.629275329
